Protocol,Host_Advanced,Host_DefaultAlias,Host_alias,Host_Address,Host_Port,Host_Inbox,Host_Outbox,Host_Sentbox,Host_Receivedbox,Mailbox_alias,Mailbox_Username,Mailbox_Password,Mailbox_Usesigncert,Mailbox_Useencrcert,Mailbox_Overridelistenercerts,Mailbox_localsigncertpassword,Mailbox_localsigncertalias,Mailbox_localencrcertalias,Mailbox_localencrcertpassword,MailboxH_AS2-From,MailboxH_AS2-To,MailboxH_Subject,MailboxH_[Content-Type],Action_alias,Action_Commands,MailboxH_Content-Type,Mailbox_Encryptedrequest,Mailbox_Receiptdesired,Mailbox_Signedrequest,Mailbox_Encryptionmethod,Cert_ImportUserAlias,Cert_ImportPrivateKeyPwd,Cert_ImportLocation,LocalListener_localsigncertpassword,LocalListener_Httpport,LocalListener_localsigncertpassword
AS2,RESTEnabled=false,Generic AS2,AS2TP52,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP52,,,TRUE,TRUE,TRUE,cleo,TEST52,TEST52,cleo,AS2TP52,AS2H052,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST52,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP53,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP53,,,TRUE,TRUE,TRUE,cleo,TEST53,TEST53,cleo,AS2TP53,AS2H053,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST53,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP54,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP54,,,TRUE,TRUE,TRUE,cleo,TEST54,TEST54,cleo,AS2TP54,AS2H054,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST54,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP55,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP55,,,TRUE,TRUE,TRUE,cleo,TEST55,TEST55,cleo,AS2TP55,AS2H055,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST55,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP56,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP56,,,TRUE,TRUE,TRUE,cleo,TEST56,TEST56,cleo,AS2TP56,AS2H056,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST56,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP57,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP57,,,TRUE,TRUE,TRUE,cleo,TEST57,TEST57,cleo,AS2TP57,AS2H057,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST57,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP58,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP58,,,TRUE,TRUE,TRUE,cleo,TEST58,TEST58,cleo,AS2TP58,AS2H058,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST58,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP59,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP59,,,TRUE,TRUE,TRUE,cleo,TEST59,TEST59,cleo,AS2TP59,AS2H059,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST59,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP60,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP60,,,TRUE,TRUE,TRUE,cleo,TEST60,TEST60,cleo,AS2TP60,AS2H060,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST60,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP61,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP61,,,TRUE,TRUE,TRUE,cleo,TEST61,TEST61,cleo,AS2TP61,AS2H061,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST61,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP62,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP62,,,TRUE,TRUE,TRUE,cleo,TEST62,TEST62,cleo,AS2TP62,AS2H062,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST62,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP63,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP63,,,TRUE,TRUE,TRUE,cleo,TEST63,TEST63,cleo,AS2TP63,AS2H063,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST63,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP64,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP64,,,TRUE,TRUE,TRUE,cleo,TEST64,TEST64,cleo,AS2TP64,AS2H064,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST64,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP65,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP65,,,TRUE,TRUE,TRUE,cleo,TEST65,TEST65,cleo,AS2TP65,AS2H065,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST65,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP66,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP66,,,TRUE,TRUE,TRUE,cleo,TEST66,TEST66,cleo,AS2TP66,AS2H066,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST66,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP67,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP67,,,TRUE,TRUE,TRUE,cleo,TEST67,TEST67,cleo,AS2TP67,AS2H067,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST67,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP68,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP68,,,TRUE,TRUE,TRUE,cleo,TEST68,TEST68,cleo,AS2TP68,AS2H068,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST68,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP69,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP69,,,TRUE,TRUE,TRUE,cleo,TEST69,TEST69,cleo,AS2TP69,AS2H069,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST69,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP70,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP70,,,TRUE,TRUE,TRUE,cleo,TEST70,TEST70,cleo,AS2TP70,AS2H070,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST70,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP71,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP71,,,TRUE,TRUE,TRUE,cleo,TEST71,TEST71,cleo,AS2TP71,AS2H071,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST71,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP72,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP72,,,TRUE,TRUE,TRUE,cleo,TEST72,TEST72,cleo,AS2TP72,AS2H072,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST72,cleo,/root/certs/,cleo,6080,cleo
AS2,RESTEnabled=false,Generic AS2,AS2TP73,node1,6080,inbox\,outbox\,sentbox\,receivebox\,AS2TP73,,,TRUE,TRUE,TRUE,cleo,TEST73,TEST73,cleo,AS2TP73,AS2H073,TETPMessage,Binary,send,PUT * ,Binary,TRUE,TRUE,TRUE,2,TEST73,cleo,/root/certs/,cleo,6080,cleo
